16:37:46:321 [ALWAYS]	GUDE Logging Started
16:37:46:322 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:37:46:322 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:37:46:322 [ERROR]	Initialize resume cache pointer failure
16:37:46:322 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:37:46:322 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:37:48:321 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:37:48:321 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:37:48:321 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:37:48:321 [ERROR]	Initialize resume cache pointer failure
16:37:48:321 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:37:48:321 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:37:48:331 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
16:37:48:412 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
16:37:48:423 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
